rank,SEQPLT14,PNAME,PSTATABB,PLFUELCT,co2_intensity,pred_intensity,residual_zscore,pred_uncertainty,ensemble_score,verification_status
3672,2990,Kankakee Hydro Facility,IL,HYDRO,0.0,0.002900783,0.8216280871994184,0.061295725,0.10300673225284354,missing
3673,1800,Carter Hydro,CO,HYDRO,0.0,0.0051392824,0.8226770099936926,0.09730547,0.10294811813048878,missing
3674,4697,New Albany Energy Facility,MS,GAS,,155.09378,,0.6946666,0.10294687852719936,suspicious
3675,2004,Scotland Dam,CT,HYDRO,0.0,0.0,0.805088318931249,0.06413738,0.1029432801035602,missing
3676,3951,Messalonskee 5,ME,HYDRO,0.0,0.0,0.8016875301008923,0.07881417,0.10286934332392975,missing
3677,8258,Fitchburg Generating Station,WI,GAS,2847.306,190.57056,-0.44962896985504147,0.79115653,0.10285802574011553,verified
3678,1394,Russell City Energy Company LLC,CA,GAS,850.788,277.7387,0.2947246442838103,0.713859,0.10284457076021893,verified
3679,8178,Twin Falls Hydro,WA,HYDRO,0.0,0.0,0.8070280920413221,0.07264578,0.10282104135067664,missing
3680,3327,Holcomb,KS,COAL,2253.918,340.47302,-0.06778738285974888,0.71969455,0.10281298446532006,verified
3681,8020,Newport,VT,HYDRO,0.0,0.0,0.7895563198653464,0.07753357,0.10275669580373807,missing
3682,517,Big Creek 4,CA,HYDRO,0.0,0.010086933,0.8249871314747363,0.05661506,0.10273564547838665,missing
3683,1923,Upper Molina,CO,HYDRO,0.0,0.0,0.8030117114257882,0.06800118,0.10272319913675095,missing
3684,5068,Mason Solar Center LLC,NC,SOLAR,,0.0,,0.3942879,0.10267031454624072,missing
3685,2193,Santa Rosa Energy Center,FL,GAS,902.84,311.163,0.32009974945258624,0.6548083,0.1026542930660531,verified
3686,2333,Morgan Falls,GA,HYDRO,0.0,0.0,0.8075543841093876,0.07354508,0.1026038875990403,missing
3687,8088,Eltopia Branch Canal 4.6,WA,HYDRO,0.0,0.0,0.8133459317919305,0.074940234,0.10257111753002363,missing
3688,5970,Black River,NY,HYDRO,0.0,0.0,0.8017037138343632,0.07351107,0.10255443088414463,missing
3689,8316,Niagara Mill,WI,COAL,,185.74695,,0.6491952,0.10254840625898058,suspicious
3690,4570,Gallatin #2,MO,OIL,,0.2651515,,0.5303887,0.10248239324663987,suspicious
3691,8023,Ottauquechee Hydro,VT,HYDRO,0.0,0.0,0.7977128198824782,0.07334851,0.1024510646062784,missing
3692,1074,Mammoth Pool,CA,HYDRO,0.0,0.00964777,0.8247825384302635,0.066525504,0.10244567955264183,missing
3693,3931,Hiram,ME,HYDRO,0.0,0.0,0.7893844610244658,0.079586186,0.10244400293981842,missing
3694,3690,Lawrence Hydroelectric Associates,MA,HYDRO,0.0,0.0,0.8056362664260814,0.082662575,0.10242579930755745,missing
3695,1342,Red Mountain,CA,HYDRO,0.0,0.0,0.8160993870570695,0.06576562,0.1024254459374119,missing
3696,8031,Searsburg,VT,HYDRO,0.0,0.0,0.8151390899862961,0.05476434,0.10241555435396964,missing
3697,6699,Neal Hot Springs Geothermal Project,OR,GEOTHERMAL,0.0,0.0,0.8171493665743025,0.06278056,0.10239878447232881,missing
